Parent (categories from card sort),Child Term (cards from sort),Terms with Multiple Parents,Skip - Child Term is a Parent Term ,Synonyms - Alternatives from card sort,Lang: Spanish | es-es,Lang: French | fr-fr,Lang: Portuguese (Brazil) | pt-br,Lang: Arabic | ar,Lang: Persian | fa-ir,Lang: Chinese | zh-cn,Lang: Russian | ru-ru,Lang: Bahasa Indonesian | id-id,Lang: Urdu | ur
About America,,,,About United States | About U.S. | About U.S.A | About USA | Info About U.S  | Info About U.S.A | Info About U.S.A,conozca Estados Unidos,Amérique,sobre os Estados Unidos,عن أميركا,درباره آمریکا,美国概览,Об Америке,Tentang Amerika,امریکہ سے متعلق
,about america,,Parent Term,,conozca Estados Unidos,Amérique,sobre os Estados Unidos,عن أميركا,درباره آمریکا,美国概览,Об Америке,Tentang Amerika,امریکہ سے متعلق
,american culture,,,United States culture | US culture | U.S. culture | U.S.A culture,Cultura de Estados Unidos,Culture américaine,Cultura americana,الثقافة الأميركية,فرهنگ آمریکایی,美国文化,Американская культура,Budaya Amerika,امریکی ثقافت
,diversity,MULTIPLE,,,diversidad,Diversité,diversidade,التنوع,گوناگونی,多样性,Разнообразие,keberagaman,تنوع
,employment legislation,,,,legislación laboral,"législation du travail
",legislação trabalhista,تشريعات العمل,قانون کار,就業立法,трудовое законодательство,undang-undang ketenagakerjaan,روزگار کے قانون سازی
,LGBTI,,,LGBT | lesbian | gay | bisexual | transgender | intersex ,LGBTI,LGBTI,LGBT,المثليون ومزدوجو الميل الجنسي ومغايرو الهوية الجنسانية,دگرباشان,LGBTI,ЛГБТИ,LGBTI,ایل جی بی ٹی آئی
,english learning,MULTIPLE,,,aprendizaje del idioma inglés,Anglais langue étrangère,aprendizagem de Inglês,تعلم اللغة الإنجليزية,یادگیری زبان انگلیسی,英语学习,Изучение английского языка,pembelajaran bahasa Inggris,انگریزی سیکھنا
,entertainment,MULTIPLE,,,entretenimiento,divertissement,entretenimento,وسائل الترفيه,سرگرمی,娛樂,развлекательная программа,hiburan,تفریح
,exchange,MULTIPLE,,,intercambiar,échange,troca,تبادل,تبادل,交換,обмен,bertukar,تبادلہ
,leadership,MULTIPLE,,,liderazgo,direction,Liderança,قيادة,رهبری,領導,руководство,kepemimpinan,قیادت
,leadership & community action,MULTIPLE,,,Liderazgo y acción comunitaria,leadership et action communautaire,liderança e ação comunitária,القيادة والعمل المجتمعي,"رهبری و اقدامات اجتماعی
",領導力和社區行動,руководство и действия сообщества,kepemimpinan & aksi komunitas,قیادت اور کمیونٹی کی کارروائی
,people,MULTIPLE,,,gente,gens,pessoas,اشخاص,مردم,人,люди,orang-orang,لوگ
,retirement,MULTIPLE,,,Jubilación,retraite,aposentadoria,تقاعد,بازنشستگی,退休,выход на пенсию,pensiun,ریٹائرمنٹ
,social learning,MULTIPLE,,,aprendizaje social,apprentissage social,aprendizagem social,تعليم اجتماعي,یادگیری اجتماعی,社會學習,социальное обучение,pembelajaran sosial,سماجی سیکھنے
,sport event,MULTIPLE,,,evento deportivo,événement sportif,evento esportivo,حدث رياضي,رویداد ورزشی,體育賽事,Спортивное событие,acara olahraga,کھیل کی تقریب
,study in the U.S.,MULTIPLE,,,estudiar en Estados Unidos,Études aux USA,estudar nos EUA,الدراسة في الولايات المتحدة,تحصیل در ایالات متحده,留学美国,Учеба в США,belajar di AS,امریکہ میں تعلیم حاصل کریں
,travel to the U.S. ,MULTIPLE,,,viajar a Estados Unidos,Voyages aux États-Unis,viajar para os EUA,السفر إلى الولايات المتحدة,سفر به ایالات متحده,赴美旅行,Путешествие в США,bepergian ke AS,امریکہ آئیں
,U.S. Government,MULTIPLE,,,Gobierno de Estados Unidos,Gouvernement américain,Governo dos EUA,الحكومة الأميركية,دولت ایالات متحده,美国政府,Правительство США,Pemerintah AS,امریکی حکومت
,values,MULTIPLE,,,valores,valeurs,valores,القيم,ارزش های,值,значения,nilai-nilai,اقدار
Arts & Culture,,,,Arts & Entertainment | Arts and Society,Arte y cultura,Arts et culture,Artes e Cultura,فنون وثقافة,هنر و فرهنگ,藝術與文化,Искусство и культура,Seni & Budaya,آرٹس اور ثقافت
,arts,,Parent Term,,artes,arts,artes,الفنون,هنر,艺术,искусство,Seni,فنون
,culture,,Parent Term,,cultura,Culture,cultura,حضاره,فرهنگ,文化,культура,budaya,ثقافت
,ceremony,MULTIPLE,,,ceremonia,la cérémonie,cerimônia,مراسم,مراسم,儀式,церемония,upacara,تقریب
,entertainment,MULTIPLE,,,entretenimiento,divertissement,entretenimento,وسائل الترفيه,سرگرمی,娛樂,развлекательная программа,hiburan,تفریح
,people,MULTIPLE,,,gente,gens,pessoas,اشخاص,مردم,人,люди,orang-orang,لوگ
,sport event,MULTIPLE,,,evento deportivo,événement sportif,evento esportivo,حدث رياضي,رویداد ورزشی,體育賽事,Спортивное событие,acara olahraga,کھیل کی تقریب
,travel to the U.S. ,MULTIPLE,,,viajar a Estados Unidos,Voyages aux États-Unis,viajar para os EUA,السفر إلى الولايات المتحدة,سفر به ایالات متحده,赴美旅行,Путешествие в США,bepergian ke AS,امریکہ آئیں
Democracy & Civil Society,,,,,Democracia y sociedad civil,Démocratie et société civile,Democracia e sociedade civil,الديمقراطية والمجتمع المدني,دموکراسی و جامعه مدنی,民主與公民社會,Демократия и гражданское общество,Demokrasi dan Masyarakat Sipil,جمہوریت اور سول سوسائٹی
,anti-corruption,MULTIPLE,,,anti corrupcion,anti-corruption,anti-corrupção,مكافحة الفساد,ضد فساد,反腐敗,антикоррупционный,anti korupsi,انسداد فساد
,civic leadership,,,,liderazgo cívico,leadership civique,liderança cívica,القيادة المدنية,رهبری مدنی,公民領導,гражданское лидерство,kepemimpinan sipil,شہری قیادت
,civil society,,Parent Term,,sociedad civil,Société civile,sociedade civil,المجتمع المدني,جامعه مدنی,公民社会,Гражданское общество,masyarakat madani,سول سوسائٹی
,civil unrest,MULTIPLE,,,disturbios civiles,troubles civils,agitação civil,اضطراب مدني,ناآرامی مدنی,內亂,гражданские беспорядки,kerusuhan sipil,سول بدامنی
